year,co2,nonco2.land,nonco2.ocean,aerosol.land,aerosol.ocean,solar.land,solar.ocean,volc.land,volc.ocean,tot.land,tot.ocean
1976,0.9668,0.7698,0.723,-1.214129202,-0.947342967,0.0906,0.1066,-0.149202,-0.149202,0.463868798,0.699855033
1977,0.9876,0.7782,0.7345,-1.220757077,-0.952148155,0.1315,0.1548,-0.059865,-0.059865,0.616677923,0.864886845
1978,1.0115,0.785,0.7452,-1.213827962,-0.947124487,0.2267,0.2668,-0.025788,-0.025788,0.783584038,1.050587513
1979,1.0337,0.7907,0.7551,-1.229900895,-0.958771739,0.3231,0.3803,-0.010131,-0.010131,0.907468105,1.200197261
1980,1.0574,0.7924,0.7628,-1.21003873,-0.944375664,0.3303,0.3887,-0.003684,-0.003684,0.96637727,1.260840336
1981,1.0809,0.8069,0.7739,-1.188307221,-0.928589071,0.297,0.3495,-0.001842,-0.001842,0.994650779,1.273868929
1982,1.1044,0.8162,0.7827,-1.171974141,-0.916699407,0.2463,0.2899,-0.700881,-0.700881,0.294044859,0.559419593
1983,1.1278,0.8285,0.7927,-1.160592399,-0.908401455,0.2285,0.269,-0.815085,-0.815085,0.209122601,0.466013545
1984,1.1526,0.8412,0.8037,-1.172431518,-0.917032645,0.1841,0.2166,-0.350901,-0.350901,0.654567482,0.904966355
1985,1.1773,0.86,0.8177,-1.173912128,-0.918111279,0.1624,0.1911,-0.133545,-0.133545,0.892242872,1.134443721
1986,1.2019,0.88,0.8348,-1.179820884,-0.922414099,0.1562,0.1838,-0.049734,-0.049734,1.008545116,1.248351901
1987,1.2263,0.9025,0.8534,-1.195143218,-0.933559031,0.1877,0.2209,-0.01842,-0.01842,1.102936782,1.348620969
1988,1.2492,0.9227,0.8707,-1.200871538,-0.937720826,0.2832,0.3334,-0.006447,-0.006447,1.247781462,1.509132174
1989,1.2734,0.9445,0.8879,-1.21003873,-0.944375664,0.3435,0.4042,-0.002763,-0.002763,1.34859827,1.618361336
1990,1.2961,0.9629,0.904,-1.183462532,-0.925064599,0.3378,0.3975,-0.000921,-0.000921,1.412416468,1.671614401
1991,1.3186,0.973,0.914,-1.163941815,-0.910844453,0.3119,0.3671,-0.632727,-0.632727,0.806831185,1.056128547
1992,1.3411,0.9805,0.9216,-1.136054285,-0.890476248,0.266,0.3131,-1.397157,-1.397157,0.054388715,0.288166752
1993,1.3634,0.9847,0.9268,-1.118150517,-0.877366639,0.2184,0.257,-0.636411,-0.636411,0.811938483,1.033422361
1994,1.3872,0.9916,0.934,-1.100311279,-0.864278211,0.1787,0.2103,-0.244065,-0.244065,1.213123721,1.423156789
1995,1.4093,1.0015,0.9436,-1.082596637,-0.851255264,0.1717,0.2021,-0.095784,-0.095784,1.404119363,1.607960736
1996,1.4329,1.0116,0.9527,-1.079469091,-0.848953346,0.1589,0.187,-0.034998,-0.034998,1.488932909,1.688648654
1997,1.4563,1.0223,0.9626,-1.07100405,-0.84271888,0.175,0.2059,-0.012894,-0.012894,1.56970195,1.76918712
1998,1.4797,1.034,0.9732,-1.054984044,-0.830903863,0.2293,0.2699,-0.004605,-0.004605,1.683410956,1.887291137
1999,1.5029,1.0464,0.9846,-1.024701621,-0.808511213,0.271399101,0.319409921,-0.001842,-0.001842,1.79415548,1.996556709
2000,1.5275,1.0601,0.9971,-1.018363958,-0.803814953,0.315515133,0.371332325,0,0,1.884751175,2.092117372
2001,1.551053306,1.0637,1.001546667,-1.01786125,-0.803442297,0.300603281,0.353781808,0,0,1.897495337,2.102939484
2002,1.58117738,1.07336,1.010733333,-1.010532085,-0.798006756,0.309426405,0.364166192,0,0,1.9534317,2.158070149
2003,1.618381899,1.08302,1.01992,-1.034914657,-0.816071992,0.219784302,0.258661838,0,0,1.886271545,2.080891745
2004,1.643041629,1.09268,1.029106667,-1.065810623,-0.838890991,0.178028244,0.209517007,0,0,1.84793925,2.042774312
2005,1.674620679,1.10234,1.038293333,-1.093418592,-0.859214123,0.141404636,0.166412819,0,0,1.824946722,2.020112708
2006,1.703917533,1.112,1.04748,-1.093418592,-0.859214123,0.127101935,0.149579242,0,0,1.849600876,2.041762653
2007,1.729855792,1.12166,1.056666667,-1.093418592,-0.859214123,0.105637206,0.12431631,0,0,1.863734406,2.051624646
2008,1.755668622,1.13132,1.065853333,-1.093418592,-0.859214123,0.097544633,0.114791748,0,0,1.891114662,2.07709958
2009,1.780254882,1.14098,1.07504,-1.093418592,-0.859214123,0.090104488,0.106035064,0,0,1.917920778,2.102115823
