# LUC emissions flux from the G-Carbon model (Steve Smith),,,,,
Year,value,vtag,units,type,ctag
1906,1.67,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1907,1.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1908,1.7,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1909,1.71,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1910,1.71,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1911,1.71,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1912,1.71,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1913,1.71,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1914,1.7,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1915,1.7,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1916,1.7,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1917,1.7,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1918,1.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1919,1.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1920,1.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1921,1.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1922,1.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1923,1.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1924,1.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1925,1.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1926,1.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1927,1.72,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1928,1.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1929,1.78,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1930,1.82,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1931,1.85,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1932,1.89,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1933,1.93,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1934,1.96,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1935,2,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1936,2.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1937,2,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1938,1.98,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1939,1.97,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1940,1.95,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1941,1.93,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1942,1.9,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1943,1.88,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1944,1.85,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1945,1.82,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1946,1.81,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1947,1.92,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1948,2.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1949,2.15,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1950,2.27,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1951,2.39,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1952,2.51,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1953,2.64,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1954,2.77,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1955,2.9,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1956,2.92,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1957,2.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1958,2.57,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1959,2.38,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1960,2.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1961,1.99,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1962,1.79,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1963,1.59,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1964,1.38,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1965,1.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1966,1.14,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1967,1.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1968,1.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1969,1.1,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1970,1.09,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1971,1.07,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1972,1.05,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1973,1.04,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1974,1.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1975,1,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1976,0.98,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1977,1,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1978,1.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1979,1.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1980,1.06,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1981,1.09,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1982,1.13,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1983,1.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1984,1.2,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1985,1.25,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1986,1.26,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1987,1.21,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1988,1.15,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1989,1.09,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1990,1.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1991,0.97,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1992,0.9,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1993,0.83,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1994,0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1995,0.67,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1996,0.65,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1997,0.58,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1998,0.51,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1999,0.43,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2000,0.37,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2001,0.3,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2002,0.21,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2003,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2004,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2005,-0.1,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2006,-0.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2007,-0.25,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2008,-0.33,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2009,-0.42,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2010,-0.52,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2011,-0.59,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2012,-0.64,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2013,-0.7,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2014,-0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2015,-0.79,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2016,-0.82,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2017,-0.85,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2018,-0.87,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2019,-0.89,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2020,-0.91,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2021,-0.93,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2022,-0.94,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2023,-0.95,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2024,-0.96,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2025,-0.96,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2026,-0.95,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2027,-0.93,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2028,-0.91,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2029,-0.9,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2030,-0.88,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2031,-0.86,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2032,-0.84,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2033,-0.82,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2034,-0.8,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2035,-0.79,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2036,-0.79,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2037,-0.79,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2038,-0.78,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2039,-0.77,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2040,-0.76,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2041,-0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2042,-0.73,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2043,-0.72,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2044,-0.7,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2045,-0.68,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2046,-0.67,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2047,-0.66,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2048,-0.67,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2049,-0.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2050,-0.7,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2051,-0.72,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2052,-0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2053,-0.78,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2054,-0.8,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2055,-0.83,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2056,-0.85,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2057,-0.85,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2058,-0.85,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2059,-0.84,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2060,-0.83,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2061,-0.82,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2062,-0.8,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2063,-0.79,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2064,-0.77,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2065,-0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2066,-0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2067,-0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2068,-0.76,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2069,-0.76,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2070,-0.76,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2071,-0.76,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2072,-0.77,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2073,-0.77,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2074,-0.78,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2075,-0.76,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2076,-0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2077,-0.73,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2078,-0.72,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2079,-0.7,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2080,-0.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2081,-0.67,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2082,-0.66,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2083,-0.65,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2084,-0.63,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2085,-0.62,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2086,-0.6,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2087,-0.59,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2088,-0.58,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2089,-0.57,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2090,-0.56,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2091,-0.55,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2092,-0.54,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2093,-0.53,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2094,-0.52,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2095,-0.51,lucEmissions,Pg C/yr,Simulated,carbon_cycle
2096,-0.5,lucEmissions,Pg C/yr,Simulated,carbon_cycle
